Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
4107.46,0.2,0.275,1550.68,0.997474,0.0000157485,27.3039,0.996246,0.0000162758
4284.76,0.2,0.284375,1377.15,0.989429,0.0000427347,76.6171,0.985826,0.0000496581
4462.06,0.2,0.284375,1205.61,0.975439,0.0000837003,150.063,0.967824,0.000102174
4639.36,0.2,0.279687,1037.28,0.953411,0.000141463,249.443,0.937836,0.000183826
4816.66,0.2,0.277734,875.274,0.916765,0.000221909,388.561,0.889867,0.000291377
4993.96,0.2,0.263477,715.638,0.873453,0.000315864,524.681,0.835168,0.000408569
5171.26,0.2,0.256055,568.501,0.806875,0.000427996,690.918,0.754395,0.000529863
5348.56,0.2,0.237891,425.711,0.727813,0.000557218,835.711,0.667912,0.000640288
5525.86,0.2,0.229395,306.22,0.620271,0.000662007,957.412,0.550992,0.000692011
5703.16,0.2,0.210547,196.162,0.495533,0.000755408,1002.73,0.431758,0.000706917
5880.46,0.2,0.208984,125.5,0.366982,0.000718142,946.188,0.302829,0.000568121
6057.76,0.2,0.187109,59.6402,0.228043,0.000643541,759.147,0.18055,0.000430015
6235.06,0.2,0.195508,36.5186,0.149252,0.000473556,583.699,0.117355,0.00029778
6412.36,0.2,0.180469,13.397,0.0693165,0.000294153,334.679,0.0541601,0.000165545
6589.66,0.2,0.1875,7.41912,0.0402676,0.000184073,217.593,0.0338251,0.000111513
6766.96,0.2,0.192969,3.94247,0.0225703,0.000110708,134.685,0.0197432,0.0000688894
6944.26,0.2,0.195313,1.85358,0.011471,0.0000612544,75.426,0.010813,0.0000407503
7121.56,0.2,0.203125,1.16543,0.00692673,0.0000378596,48.4834,0.0070785,0.0000272115
4107.46,0.242105,0.276563,1558.87,0.993948,0.0000258816,54.6276,0.991816,0.0000287462
4284.76,0.242105,0.284375,1387.09,0.982562,0.0000576945,125.214,0.976977,0.0000698983
4462.06,0.242105,0.282031,1217.63,0.965891,0.0000995968,214.373,0.954609,0.000126352
4639.36,0.242105,0.278711,1052.24,0.939939,0.000157015,333.982,0.919574,0.000206391
4816.66,0.242105,0.275781,893.347,0.901479,0.000229721,483.496,0.86924,0.00029988
4993.96,0.242105,0.263672,737.463,0.856063,0.000313013,629.875,0.811839,0.00039958
5171.26,0.242105,0.25918,596.154,0.789374,0.000404589,800.282,0.730687,0.000487543
5348.56,0.242105,0.244141,458.168,0.713856,0.000505501,941.868,0.645711,0.000568354
5525.86,0.242105,0.237109,342.043,0.617078,0.00058354,1055.96,0.538607,0.000593662
5703.16,0.242105,0.218262,230.471,0.507689,0.000662233,1103.1,0.429606,0.000603954
5880.46,0.242105,0.207227,147.126,0.387488,0.000669472,1058.78,0.308847,0.000521173
6057.76,0.242105,0.175391,66.4366,0.242118,0.000644984,863.343,0.190815,0.000436892
6235.06,0.242105,0.186914,44.0747,0.167368,0.000485361,692.365,0.132654,0.000319617
6412.36,0.242105,0.181836,21.7128,0.0955025,0.00033787,468.875,0.0744929,0.000202342
6589.66,0.242105,0.187891,12.905,0.0596634,0.00022854,327.714,0.0482766,0.000140382
6766.96,0.242105,0.192188,7.25294,0.0358125,0.00014833,217.562,0.0294975,0.0000912988
6944.26,0.242105,0.192188,3.51255,0.0189912,0.0000872863,128.026,0.0165374,0.0000560628
