date,stock(%),vol
0,1.00,0.307512
,,
0.007534,0.936719,0.322324
0.007534,1.000276,0.226268
0.007534,1.068145,0.068203
,,
0.015068,0.877443,0.348232
0.015068,0.936977,0.302243
0.015068,1.000552,0.175058
0.015068,1.068439,0.068203
0.015068,1.140933,0.191669
,,
0.022603,0.821917,0.305876
0.022603,0.877685,0.402285
0.022603,0.937236,0.222463
0.022603,1.000827,0.191144
0.022603,1.068734,0.068203
0.022603,1.141248,0.175397
0.022603,1.218682,0.207685
,,
0.030137,0.769906,0.26789
0.030137,0.822144,0.325536
0.030137,0.877927,0.36698
0.030137,0.937494,0.287185
0.030137,1.001103,0.210843
0.030137,1.069029,0.132805
0.030137,1.141562,0.170998
0.030137,1.219018,0.197457
0.030137,1.301728,0.21285
,,
0.037736,0.721074,0.258952
0.037736,0.769999,0.299474
0.037736,0.822243,0.340697
0.037736,0.878033,0.35737
0.037736,0.937607,0.303857
0.037736,1.001224,0.217136
0.037736,1.069157,0.151476
0.037736,1.1417,0.168797
0.037736,1.219165,0.189936
0.037736,1.301885,0.204987
0.037736,1.390219,0.215202
,,
0.045336,0.675339,0.253542
0.045336,0.721161,0.287977
0.045336,0.770091,0.32412
0.045336,0.822342,0.354005
0.045336,0.878138,0.35576
0.045336,0.93772,0.303009
0.045336,1.001345,0.215342
0.045336,1.069286,0.155799
0.045336,1.141838,0.165467
0.045336,1.219312,0.18371
0.045336,1.302042,0.198301
0.045336,1.390386,0.208988
0.045336,1.484724,0.216686
,,
0.052935,0.632505,0.248703
0.052935,0.67542,0.278998
0.052935,0.721248,0.311955
0.052935,0.770184,0.34432
0.052935,0.822442,0.365047
0.052935,0.878244,0.354182
0.052935,0.937834,0.294042
0.052935,1.001466,0.210193
0.052935,1.069415,0.153986
0.052935,1.141976,0.160644
0.052935,1.219459,0.178105
0.052935,1.302199,0.192514
0.052935,1.390554,0.203524
0.052935,1.484903,0.211722
0.052935,1.585654,0.21779
,,
0.060535,0.592387,0.24413
0.060535,0.632581,0.270322
0.060535,0.675502,0.300181
0.060535,0.721335,0.332154
0.060535,0.770277,0.360865
0.060535,0.822541,0.372971
0.060535,0.87835,0.349822
0.060535,0.937947,0.281296
0.060535,1.001587,0.204547
0.060535,1.069544,0.149846
0.060535,1.142113,0.154961
0.060535,1.219606,0.172935
0.060535,1.302356,0.187479
0.060535,1.390722,0.198755
0.060535,1.485082,0.207326
0.060535,1.585846,0.21381
0.060535,1.693446,0.218668
,,
0.068134,0.554814,0.24006
0.068134,0.592459,0.262038
0.068134,0.632657,0.28815
0.068134,0.675583,0.317901
0.068134,0.721422,0.349037
0.068134,0.77037,0.373771
0.068134,0.82264,0.37719
0.068134,0.878456,0.342293
0.068134,0.93806,0.267515
0.068134,1.001707,0.200133
0.068134,1.069673,0.145623
0.068134,1.142251,0.149234
0.068134,1.219753,0.168312
0.068134,1.302514,0.183169
0.068134,1.390889,0.194649
0.068134,1.485262,0.203489
0.068134,1.586037,0.210289
0.068134,1.69365,0.215499
0.068134,1.808564,0.219419
,,
0.075734,0.519625,0.236655
0.075734,0.554881,0.254717
0.075734,0.59253,0.276677
0.075734,0.632733,0.302735
0.075734,0.675665,0.332437
0.075734,0.721509,0.362544
0.075734,0.770463,0.382712
0.075734,0.822739,0.37762
0.075734,0.878562,0.332368
0.075734,0.938173,0.25496
0.075734,1.001828,0.197956
0.075734,1.069802,0.142716
0.075734,1.142389,0.144291
0.075734,1.2199,0.164503
0.075734,1.302671,0.179624
0.075734,1.391057,0.191205
0.075734,1.485441,0.2002
0.075734,1.586228,0.207225
0.075734,1.693854,0.212722
0.075734,1.808783,0.216973
0.075734,1.931509,0.220134
,,
0.083333,0.486667,0.234213
0.083333,0.519687,0.249017
0.083333,0.554948,0.267078
0.083333,0.592602,0.288821
0.083333,0.63281,0.314645
0.083333,0.675746,0.343975
0.083333,0.721596,0.372493
0.083333,0.770556,0.387391
0.083333,0.822838,0.374585
0.083333,0.878668,0.321159
0.083333,0.938286,0.245329
0.083333,1.001949,0.198427
0.083333,1.069932,0.142002
0.083333,1.142527,0.140833
0.083333,1.220047,0.161733
0.083333,1.302828,0.176831
0.083333,1.391225,0.188325
0.083333,1.48562,0.197352
0.083333,1.58642,0.204527
0.083333,1.694059,0.21026
0.083333,1.809001,0.214815
0.083333,1.931742,0.218342
0.083333,2.062811,0.220865
,,
0.091172,0.4558,0.232063
0.091172,0.486726,0.244339
0.091172,0.519751,0.259215
0.091172,0.555016,0.276991
0.091172,0.592674,0.298194
0.091172,0.632887,0.32327
0.091172,0.675828,0.351401
0.091172,0.721683,0.377499
0.091172,0.77065,0.38688
0.091172,0.822939,0.368851
0.091172,0.878775,0.311219
0.091172,0.9384,0.241323
0.091172,1.002071,0.201412
0.091172,1.070062,0.14405
0.091172,1.142666,0.139922
0.091172,1.220196,0.160447
0.091172,1.302986,0.174962
0.091172,1.391394,0.186114
