Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,1,0.118,3800,0.689,1730.528,0.425,-1,1.425
1,2,0.118,3800,0.689,0.41,0.398,0.388,0.011
1,1,0.118,3900,0.708,1631.349,0.402,0.381,0.02
1,2,0.118,3900,0.708,0.702,0.388,0.381,0.006
1,1,0.118,4000,0.726,1532.171,0.388,0.369,0.019
1,2,0.118,4000,0.726,0.993,0.375,0.369,0.006
1,1,0.118,4100,0.744,1433.334,0.369,0.366,0.003
1,2,0.118,4100,0.744,1.626,0.363,0.366,-0.003
1,1,0.118,4200,0.762,1334.527,0.356,0.353,0.003
1,2,0.118,4200,0.762,2.288,0.35,0.355,-0.005
1,1,0.118,4300,0.78,1235.912,0.344,0.342,0.002
1,2,0.118,4300,0.78,3.143,0.341,0.342,-0.002
1,1,0.118,4400,0.798,1137.902,0.328,0.333,-0.005
1,2,0.118,4400,0.798,4.602,0.327,0.333,-0.006
1,1,0.118,4500,0.816,1039.891,0.319,0.319,0
1,2,0.118,4500,0.816,6.062,0.316,0.319,-0.003
1,1,0.118,4600,0.835,942.749,0.305,0.308,-0.002
1,2,0.118,4600,0.835,8.389,0.304,0.308,-0.004
1,1,0.118,4700,0.853,846.992,0.294,0.299,-0.005
1,2,0.118,4700,0.853,12.102,0.293,0.299,-0.006
1,1,0.118,4800,0.871,751.235,0.284,0.284,-0.001
1,2,0.118,4800,0.871,15.815,0.283,0.284,-0.002
1,1,0.118,4900,0.889,657.809,0.278,0.273,0.005
1,2,0.118,4900,0.889,21.859,0.278,0.273,0.004
1,1,0.118,5000,0.907,568.944,0.265,0.269,-0.004
1,2,0.118,5000,0.907,32.463,0.265,0.269,-0.004
1,1,0.118,5100,0.925,480.079,0.256,0.255,0
1,2,0.118,5100,0.925,43.068,0.255,0.255,0
1,1,0.118,5200,0.943,392.854,0.246,0.239,0.007
1,2,0.118,5200,0.943,55.312,0.246,0.239,0.007
1,1,0.118,5250,0.952,357.798,0.243,0.243,0.001
1,2,0.118,5250,0.952,69.991,0.243,0.243,0.001
1,1,0.118,5300,0.961,322.742,0.239,0.243,-0.004
1,2,0.118,5300,0.961,84.67,0.239,0.243,-0.004
1,1,0.118,5350,0.971,287.686,0.235,0.24,-0.005
1,2,0.118,5350,0.971,99.349,0.235,0.24,-0.005
1,1,0.118,5400,0.98,252.63,0.231,0.235,-0.004
1,2,0.118,5400,0.98,114.027,0.231,0.235,-0.004
1,1,0.118,5450,0.989,217.574,0.225,0.226,-0.001
1,2,0.118,5450,0.989,128.706,0.225,0.226,-0.001
1,1,0.118,5500,0.998,182.518,0.223,0.216,0.008
1,2,0.118,5500,0.998,143.385,0.223,0.216,0.007
1,1,0.118,5550,1.007,151.707,0.22,0.208,0.012
1,2,0.118,5550,1.007,162.31,0.22,0.208,0.012
1,1,0.118,5600,1.016,134.411,0.216,0.215,0.001
1,2,0.118,5600,1.016,194.748,0.216,0.215,0.001
1,1,0.118,5650,1.025,117.115,0.213,0.218,-0.006
1,2,0.118,5650,1.025,227.187,0.213,0.218,-0.005
1,1,0.118,5700,1.034,99.819,0.209,0.219,-0.01
1,2,0.118,5700,1.034,259.625,0.209,0.219,-0.01
1,1,0.118,5750,1.043,82.523,0.209,0.217,-0.008
1,2,0.118,5750,1.043,292.064,0.209,0.217,-0.008
1,1,0.118,5800,1.052,65.226,0.206,0.211,-0.005
1,2,0.118,5800,1.052,324.503,0.206,0.211,-0.005
1,1,0.118,5850,1.061,47.93,0.204,0.201,0.002
1,2,0.118,5850,1.061,356.941,0.204,0.201,0.002
1,1,0.118,5900,1.07,30.634,0.201,0.185,0.015
1,2,0.118,3600,0.653,0.127,0.434,0.388,0.047
1,1,0.118,5950,1.079,25.18,0.199,0.189,0.01
1,2,0.118,5950,1.079,433.66,0.199,0.189,0.01
1,1,0.118,6000,1.088,21.983,0.198,0.195,0.003
1,2,0.118,6000,1.088,480.199,0.198,0.196,0.003
1,1,0.118,6050,1.098,18.787,0.195,0.201,-0.005
1,2,0.118,6050,1.098,526.738,0.195,0.201,-0.005
1,1,0.118,6100,1.107,15.591,0.196,0.204,-0.008
