Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
-1,2,"0,044",3600,"0,579",0,"0,763",-1,"1,763"
1,1,"0,044",7100,"1,143","0,074","0,213","0,206","0,006"
-1,2,"0,044",3800,"0,612",0,"0,725",-1,"1,725"
1,1,"0,044",7000,"1,127","0,208","0,206","0,194","0,013"
-1,2,"0,044",4000,"0,644",0,"0,65",-1,"1,65"
1,2,"0,044",6900,"1,11","664,876","0,206",-1,"1,206"
-1,2,"0,044",4200,"0,676",0,"0,575",-1,"1,575"
1,1,"0,044",6900,"1,11","0,59","0,203","0,194","0,009"
-1,2,"0,044",4400,"0,708",0,"0,5","0,3","0,2"
1,2,"0,044",6800,"1,094","565,472","0,194","0,181","0,012"
1,2,"0,044",4600,"0,74",0,"0,481","0,3","0,181"
1,1,"0,044",6800,"1,094","0,971","0,191","0,181","0,009"
1,2,"0,044",4700,"0,756","0,004","0,463","0,3","0,162"
1,2,"0,044",6700,"1,078","466,069","0,192","0,163","0,03"
1,2,"0,044",4800,"0,772","0,009","0,444","0,3","0,144"
1,1,"0,044",6700,"1,078","1,353","0,191","0,163","0,029"
1,2,"0,044",4900,"0,789","0,015","0,425","0,3","0,125"
1,2,"0,044",6650,"1,07","416,367","0,187","0,152","0,035"
1,2,"0,044",5000,"0,805","0,138","0,388","0,35","0,037"
1,1,"0,044",5100,"0,821","1132,111","0,381",-1,"1,381"
1,2,"0,044",5100,"0,821","0,26","0,375","0,338","0,037"
1,1,"0,044",5200,"0,837","1032,448","0,375",-1,"1,375"
1,2,"0,044",5200,"0,837","0,383","0,372","0,319","0,053"
1,1,"0,044",5250,"0,845","982,958","0,353","0,328","0,025"
1,2,"0,044",5250,"0,845","0,786","0,35","0,328","0,022"
1,1,"0,044",5300,"0,853","933,492","0,35","0,328","0,022"
1,2,"0,044",5300,"0,853","1,213","0,347","0,328","0,019"
1,1,"0,044",5350,"0,861","884,026","0,334","0,325","0,009"
1,2,"0,044",5350,"0,861","1,639","0,334","0,325","0,009"
1,1,"0,044",5400,"0,869","834,56","0,322","0,316","0,006"
1,2,"0,044",5400,"0,869","2,066","0,322","0,316","0,006"
1,1,"0,044",5450,"0,877","785,094","0,316","0,306","0,009"
1,2,"0,044",5450,"0,877","2,493","0,316","0,306","0,009"
1,1,"0,044",5500,"0,885","735,628","0,298","0,297","0,002"
1,2,"0,044",5500,"0,885","2,919","0,297","0,297",0
1,1,"0,044",5550,"0,893","686,72","0,292","0,292",0
1,2,"0,044",5550,"0,893","3,904","0,291","0,292","-0,001"
1,1,"0,044",5600,"0,901","638,427","0,288","0,289","-0,001"
1,2,"0,044",5600,"0,901","5,503","0,288","0,289","-0,002"
1,1,"0,044",5650,"0,909","590,134","0,28","0,284","-0,004"
1,2,"0,044",5650,"0,909","7,103","0,28","0,284","-0,004"
1,1,"0,044",5700,"0,917","541,841","0,269","0,274","-0,005"
1,2,"0,044",5700,"0,917","8,703","0,27","0,274","-0,005"
1,1,"0,044",5750,"0,925","493,548","0,255","0,263","-0,007"
1,2,"0,044",5750,"0,925","10,303","0,255","0,263","-0,007"
1,1,"0,044",5800,"0,933","445,255","0,252","0,249","0,003"
1,2,"0,044",5800,"0,933","11,902","0,252","0,249","0,003"
1,1,"0,044",5850,"0,941","396,962","0,245","0,234","0,01"
1,2,"0,044",5850,"0,941","13,502","0,245","0,234","0,01"
1,1,"0,044",5900,"0,949","353,349","0,237","0,236","0,001"
